Time Taken(ms), FPS
0.8559, 224.3023
0.7404, 224.6302
0.9178, 228.648
0.7202, 229.4766
0.7654, 232.4253
0.6985, 234.1464
0.6857, 236.1014
0.7979, 239.7017
1.1104, 239.3589
0.8538, 237.722
0.799, 237.0418
0.777, 237.689
0.8848, 234.1619
0.7504, 231.1083
0.8771, 212.5485
0.7283, 209.7497
0.7472, 212.7144
0.6746, 213.618
0.7328, 209.1723
0.7047, 209.2464
0.7622, 207.8687
0.683, 209.3795
0.6954, 209.4296
0.67, 201.4879
0.6763, 204.1583
0.6958, 203.8706
0.7023, 205.2838
0.6964, 207.4123
0.6821, 208.5626
0.6757, 208.2847
0.7232, 209.1526
0.6868, 210.6692
0.7457, 215.0981
0.695, 214.6647
0.7475, 212.0147
0.68, 209.8716
0.7167, 209.8531
0.6705, 212.8437
0.7095, 213.4388
0.8287, 214.8668
0.7287, 211.7598
0.7262, 213.5439
0.7097, 215.7245
0.6808, 214.321
0.6945, 212.1094
0.6966, 214.1051
0.6798, 211.9572
0.6955, 210.9514
0.7165, 212.8286
0.6866, 213.0554
0.6903, 197.3596
0.6717, 199.4939
0.6698, 197.172
0.6998, 200.5313
1.0216, 202.9217
0.777, 196.2972
0.8117, 201.7754
0.7788, 206.7698
0.7969, 211.0245
0.7472, 215.6824
0.7565, 217.4839
0.7493, 221.6976
0.765, 224.5302
0.7456, 228.4467
0.6924, 230.1962
0.7509, 233.6575
0.6767, 236.2273
0.7533, 236.4469
0.6869, 238.4971
0.6886, 236.3083
0.7469, 233.8298
0.7808, 230.5729
0.7118, 219.9059
0.7024, 217.3237
0.7269, 206.9799
0.7742, 209.304
0.744, 199.5098
0.677, 196.662
0.6834, 196.6329
0.7524, 197.2041
1.4089, 196.8171
0.6878, 197.9248
0.6712, 199.1563
0.7302, 200.8971
0.6582, 206.7476
0.6874, 208.4409
0.7439, 213.9385
0.8155, 213.8769
0.8051, 217.7032
0.7308, 221.6195
0.8866, 225.3834
0.6703, 227.5978
0.6552, 230.7628
0.677, 234.6042
0.7321, 236.8715
0.7156, 236.1622
0.6735, 237.387
0.7292, 240.8485
0.6881, 241.1795
0.6851, 242.8234
0.6999, 246.1037
0.6835, 233.1831
0.7799, 236.5309
0.6674, 239.3049
0.7019, 240.9782
0.6687, 243.318
0.7036, 239.3574
0.8487, 237.2543
0.684, 238.6698
0.7214, 231.7749
0.7283, 235.6358
0.7131, 234.1145
0.6827, 236.2428
0.72, 238.6071
0.6961, 233.6547
0.6838, 237.5603
0.7239, 240.2453
0.9125, 241.8309
0.7115, 243.5099
0.6804, 235.1703
0.8259, 239.2016
0.6758, 240.8874
0.7229, 244.0914
0.6891, 245.9557
0.7304, 243.4704
0.6735, 243.7343
0.6806, 245.1206
0.7317, 242.5428
0.6983, 244.7876
0.763, 241.2896
0.734, 235.9772
0.6932, 235.1233
0.6809, 236.9096
0.8097, 235.6914
0.7909, 233.0664
0.9748, 225.8544
0.8312, 210.3705
0.8018, 214.4861
0.7587, 211.0357
0.793, 211.6576
0.8655, 211.8554
0.6995, 215.6413
0.8468, 212.6267
0.7101, 213.6565
0.7381, 213.8251
0.6577, 214.5744
0.724, 215.7591
0.7648, 210.3444
0.6633, 210.8682
0.7764, 212.7475
0.6753, 217.4198
0.7475, 221.1515
0.671, 225.4685
0.6739, 227.2883
0.6884, 231.7616
0.7065, 234.5463
0.6787, 237.1829
0.7107, 239.1607
0.7568, 241.3844
0.7258, 240.9282
0.7063, 240.3481
0.8498, 240.0932
0.6664, 239.4599
0.9461, 238.6351
0.6769, 238.7217
0.7333, 237.6544
1.2492, 238.1955
1.0707, 235.1426
0.7777, 233.0147
0.9567, 233.7876
0.7543, 232.3302
0.8734, 232.614
0.7279, 232.7021
0.7434, 233.4264
1.1096, 232.6563
0.736, 232.8377
0.7807, 232.9404
1.2909, 233.0444
0.6813, 230.9818
0.833, 229.7329
0.7046, 230.6569
0.7047, 228.641
1.0641, 228.349
0.6716, 226.8358
0.8477, 226.045
0.9276, 226.1084
0.684, 225.938
0.809, 224.2563
0.7313, 224.4284
0.6481, 224.6889
0.6586, 225.7439
0.6863, 228.6065
0.6701, 228.6814
0.7523, 229.5981
0.7776, 219.2438
0.6641, 221.0072
0.7719, 221.1252
0.7437, 224.866
0.781, 223.5754
0.808, 222.5349
0.6982, 222.0076
1.1018, 217.0952
0.6958, 214.9217
0.701, 216.1283
0.732, 216.2699
0.772, 213.7214
0.698, 197.0599
0.6842, 190.9334
0.699, 192.9829
0.6698, 195.8474
0.746, 192.6205
0.6973, 190.995
0.717, 192.8873
0.6646, 183.8591
0.8982, 181.138
0.7386, 183.5918
0.6881, 186.1781
0.6948, 188.5565
0.6826, 191.7551
0.8052, 193.0034
0.7022, 191.9197
0.7919, 192.9213
0.6623, 194.8727
0.6868, 199.5566
0.7111, 201.0318
0.655, 203.9886
0.6757, 203.6589
0.8303, 207.2486
0.673, 209.6691
0.6755, 209.9174
0.6561, 215.0986
0.6731, 217.6682
0.6409, 222.9921
0.665, 226.3643
0.661, 230.7981
0.8073, 224.7968
0.6587, 227.5098
0.6603, 230.9168
0.6678, 233.5861
0.6639, 236.243
0.6635, 239.0528
0.7175, 238.0772
0.656, 240.3247
0.8419, 243.3627
0.7591, 243.0427
0.7446, 242.6169
0.8049, 244.2664
0.7356, 243.6082
0.9987, 242.7558
0.6719, 242.2604
0.6628, 241.5312
0.7191, 241.6711
0.66, 242.2422
0.9483, 241.0939
0.6899, 236.7831
0.6565, 234.9858
1.0204, 236.8838
0.9784, 234.3346
0.6671, 233.023
0.6783, 237.0961
0.693, 236.8254
0.7422, 238.2769
0.6822, 239.5756
0.6753, 241.0537
0.6702, 244.0806
0.6776, 244.9097
0.6615, 247.5313
0.6701, 248.2527
0.6899, 249.0543
0.7052, 245.202
0.6844, 246.0549
0.7484, 248.0627
0.6714, 247.503
0.6484, 249.6106
0.6837, 250.9457
0.7986, 253.2336
0.6674, 252.3493
0.7103, 254.6853
0.6605, 255.152
0.7834, 257.078
0.6794, 256.5811
0.6696, 256.7742
0.6633, 259.1019
0.6603, 259.0776
0.6684, 259.3064
0.7383, 245.4525
0.6854, 246.0692
0.6929, 249.3351
0.6799, 248.4348
0.672, 250.8957
0.7946, 252.1465
0.8858, 253.5983
0.7847, 252.7787
0.7651, 254.1344
0.9112, 254.1255
0.7344, 249.0438
0.7605, 251.4786
0.6947, 252.0515
0.7133, 253.6314
0.6798, 253.7706
0.81, 255.1405
0.6643, 256.2165
0.6779, 257.7842
0.6806, 257.2121
0.6888, 257.3573
0.7059, 259.2458
0.8326, 259.4324
0.7116, 259.5662
0.6651, 259.7117
1.0098, 260.3339
0.678, 258.0419
0.8647, 258.847
0.6672, 257.3084
0.8772, 256.6539
0.7056, 254.3236
0.6623, 253.9928
0.6837, 251.2458
0.731, 252.8982
0.6894, 253.0977
0.6754, 254.3475
0.991, 247.855
0.7777, 246.3439
0.7685, 248.3893
0.7225, 248.7423
0.684, 251.0146
0.6967, 251.1762
0.6753, 252.8207
1.0253, 253.2406
0.7017, 247.9573
0.6671, 249.4134
0.6945, 251.3221
0.691, 252.0376
0.6811, 251.9662
0.6893, 255.3015
0.6597, 256.0653
0.6627, 259.6878
0.7061, 244.7142
0.666, 245.1888
0.7422, 247.4861
1.4205, 248.3388
0.7016, 245.9074
0.6893, 247.5429
0.7887, 250.7181
0.7379, 250.7208
0.6662, 248.9327
0.9611, 250.8476
0.6708, 249.5436
0.7086, 248.3075
0.6673, 248.9991
0.6955, 245.8017
0.6715, 248.0972
0.6992, 247.2249
0.7365, 244.8112
0.6621, 244.5794
0.7416, 246.6178
0.8348, 245.8385
0.7087, 244.4982
0.7668, 247.7781
0.9309, 242.8539
0.7634, 237.9382
0.8164, 235.1329
0.7844, 233.5383
0.712, 228.675
0.8249, 227.2507
0.6884, 224.2236
0.7133, 222.8064
0.7723, 223.4302
0.685, 221.4293
0.7037, 215.9183
0.923, 213.8075
0.7479, 215.5087
0.6519, 213.4109
0.6708, 213.6101
0.6779, 216.571
0.6834, 204.5605
0.7129, 197.3221
0.6536, 196.3891
0.6634, 194.5537
0.7518, 197.9805
0.6704, 198.4906
0.7066, 188.2832
0.6532, 190.068
0.6634, 190.1612
0.7992, 193.6762
0.6637, 193.3147
0.7781, 193.0345
0.7437, 191.6473
0.8206, 191.3892
0.7012, 193.1441
0.6822, 193.7668
0.6858, 192.6145
0.6971, 196.8292
0.6649, 197.2265
0.7015, 199.9404
0.6933, 199.5255
0.7909, 188.914
0.6725, 191.3751
0.6566, 190.8966
0.6746, 191.828
0.6861, 193.2336
0.7173, 196.1352
0.6614, 192.896
0.8215, 196.306
0.678, 197.0164
0.6704, 195.0673
0.7042, 199.0849
0.6486, 199.3142
0.662, 197.031
0.7365, 198.7175
0.8065, 198.3382
0.7076, 197.3561
0.7295, 199.5667
0.7421, 205.2423
0.6897, 207.382
0.6741, 207.6572
0.7765, 209.3673
0.9411, 213.7558
0.7308, 217.4853
0.7723, 220.112
0.7318, 223.206
0.7049, 228.0595
0.7442, 220.0565
0.7962, 221.4923
0.6927, 222.8131
0.7315, 226.2699
0.7114, 229.0589
0.7771, 231.3625
0.7341, 229.5827
0.7079, 232.2802
0.6785, 227.9108
0.7354, 223.3298
0.7782, 223.7374
0.8894, 223.4136
0.7386, 222.5233
0.6677, 219.8101
0.7554, 219.2808
0.6581, 217.0216
0.7846, 219.1631
0.6931, 214.0209
0.6893, 214.2122
0.6717, 209.4732
0.6704, 208.8427
0.6644, 207.72
0.6625, 207.1939
0.7981, 205.2197
0.6557, 204.3571
0.6995, 205.6942
1.0986, 208.1544
0.8555, 207.5066
0.8594, 208.3341
0.9406, 209.3963
0.7327, 206.6867
0.6521, 207.6771
0.664, 207.3772
0.6935, 207.7539
0.7007, 209.5115
0.6759, 208.5659
0.8932, 210.5107
0.7701, 210.8949
0.6541, 210.096
0.7707, 212.5604
0.7342, 211.4178
0.6561, 199.2284
0.6613, 192.4973
0.6964, 193.5535
0.768, 196.835
0.7182, 202.8152
0.8933, 205.2559
0.7428, 203.7402
0.7164, 206.9519
1.0034, 212.1257
0.8457, 210.3329
0.724, 210.8908
0.7271, 215.7417
0.7091, 217.197
0.6865, 205.5311
0.7762, 211.388
0.9598, 215.3161
0.6912, 217.9527
0.8255, 223.6988
0.7396, 226.6738
0.7213, 230.2745
0.7328, 232.668
0.7414, 232.1207
0.7417, 230.3064
0.7383, 228.0237
0.7916, 227.6464
0.7086, 228.1563
0.7131, 220.9689
0.6827, 218.8284
0.7053, 217.6571
0.7317, 219.287
0.6516, 207.3488
0.6674, 201.6604
0.6812, 204.125
0.8019, 206.1846
0.7244, 204.0004
0.7557, 200.2196
0.7582, 201.1249
0.695, 203.3491
0.6971, 202.3601
0.7338, 202.7843
0.7371, 205.3936
0.6685, 206.3996
0.7335, 208.7236
0.7292, 210.0755
0.6622, 199.6226
0.6877, 199.2974
0.7231, 204.87
0.6832, 207.6209
1.0086, 209.2184
0.6884, 211.3671
0.7013, 211.2564
0.7439, 213.7841
0.6821, 210.334
0.7017, 213.7968
0.7265, 218.3594
0.6993, 222.4617
0.7727, 221.9367
0.7019, 225.1522
0.7263, 229.0464
0.9584, 232.8785
0.7991, 233.4596
1.0172, 230.906
0.8217, 233.1351
0.8534, 232.3672
1.1528, 235.2697
0.8148, 235.041
0.7698, 237.0388
0.7659, 237.4306
0.9331, 238.1661
0.8833, 240.7263
0.8185, 240.0565
0.7795, 242.1631
