Time Taken(ms), FPS
0.4469, 45.35928
0.27, 46.41275
0.3862, 47.28755
0.2782, 47.95624
0.5952, 48.70973
0.3312, 49.26016
0.4176, 50.06355
0.2776, 50.55189
0.3102, 51.17399
0.2897, 51.40952
0.7185, 52.47098
0.2961, 52.75049
0.8101, 53.25984
0.3222, 52.792
0.2935, 53.13223
0.3369, 53.40374
0.2952, 53.71255
0.2933, 53.74925
0.3228, 54.01009
0.2808, 54.38961
0.3876, 54.64365
0.2845, 54.54592
0.7015, 54.76826
0.2864, 54.63778
0.2946, 55.06963
0.2942, 55.17496
0.673, 55.88581
0.2897, 56.53622
0.6002, 57.23054
0.2966, 57.39523
0.2835, 58.10364
0.4998, 58.8545
0.2736, 59.24371
0.3173, 59.31995
0.3114, 58.92234
0.6651, 59.05393
0.2858, 58.66604
0.3762, 58.76434
0.3613, 58.40729
0.4725, 59.21881
0.288, 58.80366
0.3138, 59.34602
0.2934, 59.29297
0.4958, 59.3756
0.3442, 58.86262
0.2784, 59.59287
0.5716, 59.80361
0.4347, 59.40042
0.2851, 59.84194
0.4607, 60.55542
0.2756, 61.13931
0.2572, 61.57367
0.3292, 62.12327
0.5366, 62.00099
0.2894, 62.91474
0.5508, 63.07611
0.282, 62.50814
0.3062, 62.43244
0.3061, 62.46083
0.4463, 62.43772
0.266, 62.55293
0.309, 62.78541
0.2943, 62.45753
0.2954, 62.67222
0.317, 63.52029
0.2962, 63.17997
0.3075, 63.27191
0.3051, 62.84837
0.4583, 62.8543
0.4219, 62.46639
0.2862, 62.2719
0.3027, 62.40454
0.3139, 61.80829
0.5625, 61.90416
0.3036, 61.66364
0.3012, 61.32023
0.4437, 61.61791
0.2902, 61.41648
0.2688, 61.60349
0.4207, 61.96569
0.2928, 62.05381
0.3654, 62.28007
0.2925, 61.90608
0.3265, 61.73422
0.2879, 61.40173
0.2573, 62.22258
0.3901, 62.39898
0.3081, 61.94868
0.3042, 61.70602
0.3138, 61.75723
0.3126, 61.7058
0.3058, 61.70101
0.3712, 61.74638
0.2706, 61.37951
0.5533, 61.46435
0.292, 61.7302
0.273, 61.58488
0.3161, 61.6777
0.2796, 61.19144
0.3821, 61.0057
0.3424, 60.42169
0.3689, 60.08477
0.2845, 59.71155
0.4599, 59.30853
0.278, 58.63055
0.3979, 58.31242
0.2818, 57.68288
0.5679, 57.45872
0.2888, 57.30758
0.5733, 57.25508
0.2804, 56.99831
